PROJID,"Change Field","Orig Value","Updated Value",PROJNAME,REGION,STATENUM,FEDNUM,LOCATION,PROJMAN,PHONENUM,ANTADVDT,DESCRIPTION,ADDLINFO,ENGEST
CFHWY00753-A,DELETED,"","","Sterling Highway 45-60; Pioneer Rd","Central Region",CFHWY00753-A,0A33031,"Cooper Landing","Alan L Drake",(907)269-0450,"December 2021","This project will construct access to the project corridor from both the east and west sides. Access will not be constructed to highway standards but to a level to provide access for heavy equipment and materials required to construct the bridge. Work will include grading, drainage and surfacing. Work also includes development of the Tract C Staging Area. This project is in support of the Sterling Highway MP 45-60; Sunrise to Skilak Lake Rd. Reconstruction project.","","Between $5,000,000 and $10,000,000"
Z530140000B,DELETED,"","","STERLING HIGHWAY MP 45-60 SUNRISE TO SKILAK LAKE RD RECONSTRUCTION CM/GC","Central Region",Z530140000B,212015,"Cooper Landing","Jonathan J Tymick",(907)269-0453,"December 2021","The State of Alaska Department of Transportation and Public Facilities (DOT&PF) invites proposals from general construction contractors to serve as ""Construction Manager/General Contractor (CM/GC)"" for the Sterling Highway MP 45-60 Sunrise to Skilak Lake Road Reconstruction project in Cooper Landing, Alaska.  The CM/GC procurement is intended to encompass all materials, labor, supplies, equipment and supervision necessary for the complete construction of the project, including any preconstruction related services during the development process.","A virtual, non-mandatory pre-proposal conference is scheduled for Wednesday, December 22, 2021 at 3:00 p.m. Information on how to attend this virtual meeting will be provided in the RFP.","Between $2,500,000 and $5,000,000"
CFHWY00619,DELETED,"","","AMATS ANCHORAGE AREA PATHWAY &TRAILS PAVEMENT REPLACEMENT","Central Region",CFHWY00619,1666,Anchorage,"Steven J Rzepka",(907)269-0592,"January 2022","This AMATS project will repair and replace pavement on sections of pathway in the Municipality of Anchorage, which may include those listed in Table 7 of the AMATS TIP or other priorities.  The pavement preservation project may include roadside hardware, improvements to drainage and ADA, and utilities as necessary.","","Between $1,000,000 and $2,500,000"
CFAPT00675,DELETED,"","","ANC TAXILANES E1, E3, AND E/G INTERSECTION RECONSTRUCTION","Central Region",CFAPT00675,N/A,Anchorage,"Matthew H Hansen",(907)269-0602,"January 2022","Rehabilitate Taxilanes E1 and E3, and a section of apron near the North Terminal, and reconstruct the intersection of Taxiways E and G. Project includes pavement rehabilitation and reconstruction; installation of new lighting, marking, and signs; and rehabilitation of existing storm drains.","<a class=linkcopy href=""https://dot.alaska.gov/creg/design/aviation/Tentative_Advertising_List_Docs/ANC TL E_CFAPT00675 PSE Review Plans_TAL.pdf"">Preliminary Plans (~21 Mb) </a><img name=""pdf_icon"" src=""/images/styls/pdf_icon.gif"" width=""18"" height=""18"" border=""0"">","Between $10,000,000 and $20,000,000"
CSAPT00719,DELETED,"","","ANC TERMINAL WATER MAIN IMPROVEMENTS","Central Region",CSAPT00719,N/A,Anchorage,"Matthew H Hansen",(907)269-0602,"January 2022","Repair the water main pipes at the South Terminal, North Terminal and Old Field Maintenance.","","Between $5,000,000 and $10,000,000"
CFHWY00610,DELETED,"","","ANCHORAGE DISTRICT GROUP B - NOV 2018 EQ PR","Central Region",CFHWY00610,N/A,Anchorage,"Steven J Rzepka",(907)269-0592,"January 2022","This project will construct repairs for the November 30, 2018 earthquake in the Central Region of Alaska. Repairs may include, but are not limited to, asphalt, embankment, roadside hardware, retaining walls, utilities, and drainage. This project repairs sites corresponding to Detailed Damage Inspection Reports DDIR AK 2019 02 115, DDIR AK 2019 119 , DDIR AK 2019 02 148, DDIR AK 2019 02 149, DDIR AK 2019 02 158, and DDIR AK 2019 02 161.","","Between $5,000,000 and $10,000,000"
CFHWY00647,DELETED,"","","DOWLING ROAD AND 3RD AVE-NOV 2018 EQ PERMANENT REPAIRS (MOA)","Central Region",CFHWY00647,92011,"Municipality Of Anchorage","Steven J Rzepka",(907)269-0592,"January 2022","This project will construct repairs for the November 30, 2018 earthquake in the Central Region of Alaska. Repairs may include, but are not limited to, asphalt, embankment, roadside hardware, retaining walls, utilities, and drainage. This project repairs sites corresponding to Detailed Damage Inspection Reports DDIR AK 2019 02 MOA001 and  DDIR AK 2019 02 MOA002.","","Between $1,000,000 and $2,500,000"
CFHWY00359,DELETED,"","","DOWLING RD / SEWARD HWY INTERCHANGE RECONSTRUCTION","Central Region",CFHWY00359,N/A,Anchorage,"Kevin L Jackson",(907)269-0610,"February 2022","Reconstruct the Dowling Road and Seward Highway interchange.  Replace Dowling Road Undercrossing #1324.","","Between $30,000,000 and $40,000,000"
21-25-1-030,DELETED,"","","Seldovia Airport (SOV) Obstruction Removal","Central Region",21-25-1-030,"CFAPT00821 / AIP 3-02-0258-XXX-2022",Seldovia,"Michael D Cook",(907)269-0767,"February 2022","Remove trees in the Rwy 34 approach to include off airport property in the avigation & hazard easements.  Estimated acreage is 4.9 on property and 5.4 in aviation & hazard easements.  All work shall be in accordance with the Alaska Department of Transportation & Public Facilities “Standard Specifications for Airport Construction, revised 01/01/20” and attachments.  Payment shall be made at the contract unit price.  This payment shall be full compensation for all requirements of this contract.","","Less than $200,000"
21-25-1-045,ADDED,"","","CR22 Mat-Su District NHS Preventative Maintenance CFHWY00861 / 0001733
CR22 Mat-Su District NON-NHS Preventative Maintenance CFHWY00864 / 0001740","Central Region",21-25-1-045,N/A,"Matanuska-Susitna Borough","Vernon S Vreeland",(907)269-0778,"January 2022","This federally-funded contract shall furnish all materials (excluding paint and beads), labor, equipment, tools, transportation, mobilization, demobilization, lodging, per-diem, and supervision necessary to meet specifications of this contract consisting of the application of painted markings and stripes on the surface of roadways, according to these specifications and at the locations shown on Appendix A, or as directed by the Department of Transportation & Public Facilities (DOT&PF) Representative. This work is located in the Matanuska-Susitna Maintenance & Operations District. The State may opt to offer renewal of this contract for four (4) additional one year periods.","","Between $200,000 and $500,000"
