PROJID,PROJNAME,STATENUM,FEDNUM,REGION,LOCATION,PROJMAN,PHONENUM,ANTADVDT,DESCRIPTION,ADDLINFO,ENGEST
CFHWY00447,AMATS: BOUNDARY AVE: BONIFACE TO OKLAHOMA,CFHWY00447,1631,Central Region,Anchorage,Steven J Rzepka,(907)269-0592,January 2022,"Pavement Preservation, Roadside Hardware, ADA Improvements, Drainage Improvements, Minor Safety Improvements, Minor Structural Improvement, Utility Relocation",,"Between $2,500,000 and $5,000,000"
21-25-044A,Anchorage and Eagle River Street Sweeping - 2022,21-25-044A,N/A,Central Region,Municipality Of Anchorage,Burrell L Nickeson,(907)269-0757,January 2022,"This state funded contract is for sweeping and cleaning streets, medians, sidewalks, and pathways in Area A of the Anchorage and Eagle River Areas of the Anchorage Maintenance District.",,"Between $1,000,000 and $2,500,000"
21-25-044B,Anchorage and Eagle River Street Sweeping - 2022,21-25-044B,N/A,Central Region,Municipality Of Anchorage,Burrell L Nickeson,(907)269-0757,January 2022,"This state funded contract is for sweeping and cleaning streets, medians, sidewalks, and pathways in Area B of the Anchorage and Eagle River Areas of the Anchorage Maintenance District.",,"Between $1,000,000 and $2,500,000"
21-25-1-045,"CR22 Mat-Su District NHS Preventative Maintenance CFHWY00861 / 0001733
CR22 Mat-Su District NON-NHS Preventative Maintenance CFHWY00864 / 0001740",21-25-1-045,N/A,Central Region,Matanuska-Susitna Borough,Vernon S Vreeland,(907)269-0778,January 2022,"This federally-funded contract shall furnish all materials (excluding paint and beads), labor, equipment, tools, transportation, mobilization, demobilization, lodging, per-diem, and supervision necessary to meet specifications of this contract consisting of the application of painted markings and stripes on the surface of roadways, according to these specifications and at the locations shown on Appendix A, or as directed by the Department of Transportation & Public Facilities (DOT&PF) Representative. This work is located in the Matanuska-Susitna Maintenance & Operations District. The State may opt to offer renewal of this contract for four (4) additional one year periods.",,"Between $200,000 and $500,000"
CFHWY00387,"AMATS: CHUGACH FOOTHILLS CONNECTOR, PHASE II",CFHWY00387,TA18004,Central Region,Anchorage,Alexander L Read,(907)269-0641,February 2022,Project will construct a multi-use path on Tudor Road between Regal Mountain Drive and Campbell Airstrip Road.  Work may include roadside hardware and drainage improvements.,,"Between $2,500,000 and $5,000,000"
CFAPT00718,"ANC GATES B4, B6, B7, B8, & B9 IMPROVEMENTS",CFAPT00718,3-02-0016-XXX-2022,Central Region,Anchorage,Philip W Cheasebro,(907)269-0606,February 2022,"This project will re-seal joints and repair cracks in concrete handstands at Gate B4, B6, B7, B8, & B9 and perform drainage repairs as required.

Expected funding FFY 2022.","Pre PS&E review documents are located at the link:
<a class=linkcopy href="" https://dot.alaska.gov/creg/design/aviation/Tentative_Advertising_List_Docs/5_00718%20-%20ANC%20Gates%20B4,%20B6,%20B7,%20B8%20&%20B9%20Improvements%20Pre%20PSE-TAS.pdf "">Preliminary Plans (~7.5 Mb) </a><img name=""pdf_icon"" src=""/images/styls/pdf_icon.gif"" width=""18"" height=""18"" border=""0"">","Between $1,000,000 and $2,500,000"
21-25-1-031,Kalskag Airport (KLG) Surface Preservation Maintenance (SPM),21-25-1-031,CFAPT00823 / AIP 3-02-0136-XXX-2022,Central Region,Kalskag,Michael D Cook,(907)269-0767,February 2022,"Scarify, reshape and recompact surfacing material at runway, taxiway, and apron to proper profile. Apply dust palliative to retain the critical fine particles now present in the crushed surface and to bind aggregate to prevent loss of fines from the runway, taxiway, and apron surfaces.  Apply dust palliative for RWY 6/24 (3,200 LF), TWY (208 LF) and apron (11,250 SY).  Work shall consist of spot treatments for all areas within the limits designated on the drawings or as required by the Project Manager.   All work shall be in accordance with the Alaska Department of Transportation & Public Facilities “Standard Specifications for Airport Construction, revised 01/01/20” and attachments.  Payment shall be made at the contract unit price.  This payment shall be full compensation for all requirements of this contract.",,"Between $200,000 and $500,000"
CFHWY00599,"KNIK-GOOSE BAY RD RECONST, PHASE 1 - FAIRVIEW LOOP TO CENTAUR AVENUE",CFHWY00599,525016,Central Region,Wasilla,Tom J Schmid,(907)269-0543,February 2022,"Project consists of reconstructing Knik Goose Bay Road to a divided 4 lane facility from Centaur Ave (near Palmer-Wasilla Hwy) to Fairview Loop.  Scope includes roadside hardware, drainage improvements, intersection improvements, ADA improvements, utilities and access management. Project will be constructed in two phases. The first phase of construction (Fairview Loop Road to Centaur Ave., approx. 4mi) will be advertised under project CFHWY00599. The 2nd phase (Settlers Bay to Fairview Loop Road, approx. 4mi) will be constructed under project Z524640000 and project 51717.","<a class=linkcopy href=""http://www.dot.state.ak.us/creg/design/highways/Projects/00599/00599.pdf"">Preliminary Plans (~74 Mb) </a><img name=""pdf_icon"" src=""/images/styls/pdf_icon.gif"" width=""18"" height=""18"" border=""0"">","Between $40,000,000 and $50,000,000"
21-25-1-029,Koliganek Airport (JZZ) Surface Preservation Maintenance (SPM),21-25-1-029,CFAPT00820 / AIP 3-02-0424-XXX-2022,Central Region,Koliganek,Michael D Cook,(907)269-0767,February 2022,"Purchase, haul, place and compact crushed aggregate surface course (CASC) for RWY 9/27 (3,300 LF), TWY (175 LF) and Apron (66,667 SY (as needed)).  All work shall be in accordance with the Alaska Department of Transportation & Public Facilities “Standard Specifications for Airport Construction, revised 01/01/20” and attachments.  Payment shall be made at the contract unit price.  This payment shall be full compensation for all requirements of this contract.",,"Between $200,000 and $500,000"
CFAPT00278,NAPASKIAK AIRPORT SNOW REMOVAL EQUIPMENT BUILDINGS,CFAPT00278,AIP 3-02-0189-003-2021,Central Region,Napaskiak,Matthew R Epp,(907)764-4881,February 2022,"This federally funded project shall include all labor, materials, equipment, and supervision required to demolish, remove and dispose of existing facilities and to  construct two new snow removal equipment buildings for the Alaska Department of Transportation and Public Facilities (the Department) as described in the Contract Documents.",FFY 2021 Expected project,"Between $2,500,000 and $5,000,000"
